dataset,rmse,mae,bucketLength,numHashTables,threshold,top_k,timestamp
100k,1.1508164647488568,0.9336701852738076,1.0,1,0.8,10,20250605_003359
100k,1.1508164647488568,0.9336701852738076,1.0,1,0.8,20,20250605_003423
100k,1.1508164647488568,0.9336701852738076,1.0,1,0.8,30,20250605_003446
100k,1.0637897773055722,0.8329713537750348,1.0,1,1.0,10,20250605_003509
100k,1.0622761401176324,0.8323082403153087,1.0,1,1.0,20,20250605_003533
100k,1.0625107443485735,0.8326101016535816,1.0,1,1.0,30,20250605_003559
100k,0.992622008234524,0.7533452630173505,1.0,1,1.2,10,20250605_003629
100k,0.9541727362510316,0.7249371074540906,1.0,1,1.2,20,20250605_003703
100k,0.9444708805571628,0.7171346682791082,1.0,1,1.2,30,20250605_003736
100k,1.149460752293081,0.93153455644492,1.0,3,0.8,10,20250605_003800
100k,1.149460752293081,0.93153455644492,1.0,3,0.8,20,20250605_003828
100k,1.149460752293081,0.93153455644492,1.0,3,0.8,30,20250605_003853
100k,1.0455613765228742,0.8128091569897651,1.0,3,1.0,10,20250605_003918
100k,1.04270286680601,0.8108718457086697,1.0,3,1.0,20,20250605_003943
100k,1.042844017380803,0.811439623705257,1.0,3,1.0,30,20250605_004008
100k,0.981734981778368,0.7428729686498103,1.0,3,1.2,10,20250605_004037
100k,0.9532749801732808,0.7195655418532482,1.0,3,1.2,20,20250605_004111
100k,0.9351193175300846,0.7075332073702431,1.0,3,1.2,30,20250605_004146
100k,1.1494717146041828,0.9315849596707264,1.0,5,0.8,10,20250605_004209
100k,1.1494717146041828,0.9315849596707264,1.0,5,0.8,20,20250605_004233
100k,1.1494717146041828,0.9315849596707264,1.0,5,0.8,30,20250605_004258
100k,1.0440926167392854,0.8115068487963332,1.0,5,1.0,10,20250605_004323
100k,1.0411047381614589,0.8095312772043363,1.0,5,1.0,20,20250605_004347
100k,1.041051705174416,0.8100099140129299,1.0,5,1.0,30,20250605_004413
100k,0.9812836107849514,0.7425269098451941,1.0,5,1.2,10,20250605_004445
100k,0.9514445561728352,0.7175686146753865,1.0,5,1.2,20,20250605_004520
100k,0.9330694208522412,0.7060141774139098,1.0,5,1.2,30,20250605_004556
100k,1.1494717146041828,0.9315849596707264,1.0,7,0.8,10,20250605_004621
100k,1.1494717146041828,0.9315849596707264,1.0,7,0.8,20,20250605_004645
100k,1.1494717146041828,0.9315849596707264,1.0,7,0.8,30,20250605_004710
100k,1.0440926167392854,0.8115068487963332,1.0,7,1.0,10,20250605_004734
100k,1.0410945140949062,0.8095132278173063,1.0,7,1.0,20,20250605_004759
100k,1.0410453668594832,0.8100034578290832,1.0,7,1.0,30,20250605_004824
100k,0.9816520750239958,0.7430285511561417,1.0,7,1.2,10,20250605_004858
100k,0.951430268728392,0.717879880959443,1.0,7,1.2,20,20250605_004937
100k,0.9322658378260408,0.7060326151731544,1.0,7,1.2,30,20250605_005016
100k,1.1508164647488568,0.9336701852738076,2.0,1,0.8,10,20250605_005039
100k,1.1508164647488568,0.9336701852738076,2.0,1,0.8,20,20250605_005101
100k,1.1508164647488568,0.9336701852738076,2.0,1,0.8,30,20250605_005123
100k,1.0637897773055722,0.8329713537750348,2.0,1,1.0,10,20250605_005145
100k,1.0622761401176324,0.8323082403153087,2.0,1,1.0,20,20250605_005207
100k,1.0625107443485735,0.8326101016535816,2.0,1,1.0,30,20250605_005230
100k,0.992622008234524,0.7533452630173505,2.0,1,1.2,10,20250605_005256
100k,0.9541727362510316,0.7249371074540906,2.0,1,1.2,20,20250605_005328
100k,0.9444708805571628,0.7171346682791082,2.0,1,1.2,30,20250605_005400
100k,1.149460752293081,0.93153455644492,2.0,3,0.8,10,20250605_005424
100k,1.149460752293081,0.93153455644492,2.0,3,0.8,20,20250605_005448
100k,1.149460752293081,0.93153455644492,2.0,3,0.8,30,20250605_005512
100k,1.0455613765228742,0.8128091569897651,2.0,3,1.0,10,20250605_005535
100k,1.04270286680601,0.8108718457086697,2.0,3,1.0,20,20250605_005558
100k,1.042844017380803,0.811439623705257,2.0,3,1.0,30,20250605_005624
100k,0.981734981778368,0.7428729686498103,2.0,3,1.2,10,20250605_005654
100k,0.9532749801732808,0.7195655418532482,2.0,3,1.2,20,20250605_005728
100k,0.9351193175300846,0.7075332073702431,2.0,3,1.2,30,20250605_005803
100k,1.1494717146041828,0.9315849596707264,2.0,5,0.8,10,20250605_005827
100k,1.1494717146041828,0.9315849596707264,2.0,5,0.8,20,20250605_005852
100k,1.1494717146041828,0.9315849596707264,2.0,5,0.8,30,20250605_005916
100k,1.0440926167392854,0.8115068487963332,2.0,5,1.0,10,20250605_005940
100k,1.0411047381614589,0.8095312772043363,2.0,5,1.0,20,20250605_010004
100k,1.041051705174416,0.8100099140129299,2.0,5,1.0,30,20250605_010029
100k,0.9812836107849514,0.7425269098451941,2.0,5,1.2,10,20250605_010101
100k,0.9514445561728352,0.7175686146753865,2.0,5,1.2,20,20250605_010138
100k,0.9330694208522412,0.7060141774139098,2.0,5,1.2,30,20250605_010217
100k,1.1494717146041828,0.9315849596707264,2.0,7,0.8,10,20250605_010242
